Algorithm;Tamanho do Número;Numero Primo gerado;Tempo para gerar
Miller-Rabin;128;305341051790662205969360120236944842309;0.21779999951831996 ms
Miller-Rabin;124;12651582633019784552603119019928833203;0.2009999989240896 ms
Miller-Rabin;128;313624653857114343618675658764101031479;0.2190000013797544 ms
Miller-Rabin;125;33717937218438863326992975412883616563;0.19289999909233302 ms
Miller-Rabin;168;252416905835804658887886830559269850516135992814311;0.30340000012074597 ms
Miller-Rabin;168;231610270575691406027641170539177216714571708152963;0.31820000003790483 ms
Miller-Rabin;163;11623638187123198844801736081884055393784768494419;0.2846000024874229 ms
Miller-Rabin;168;221307536679589217799011203402353295393268709328487;0.3085000025748741 ms
Miller-Rabin;168;253639543998357493961553350340975855650916961532789;0.33259999690926634 ms
Miller-Rabin;168;284253938078756322338616025529817862266766399999057;0.32780000037746504 ms
Miller-Rabin;167;102058051626635286217983247701054230800589704979341;0.28759999986505136 ms
Miller-Rabin;168;327075906280404769073836305232831527708308742200971;0.316400000883732 ms
Miller-Rabin;162;4250815723784438105958483893259805422129732547601;0.28620000011869706 ms
Miller-Rabin;167;172193572064682001426760339661438477540456881553511;0.3145000009681098 ms
Miller-Rabin;223;7570779506982052809912591171777555496525937847636759294736300808959;0.8612000019638799 ms
Miller-Rabin;224;21064487774678069974453176368705780420104518451822151422474908697489;0.5127999975229613 ms
Miller-Rabin;223;7450945206919970582893273504307398782000569928924124721126755711469;0.9800999978324398 ms
Miller-Rabin;223;7681347044076358690166164040003289204396382556826686734871103930869;0.862300003063865 ms
Miller-Rabin;222;6085363551511170297541009091851519952440101069508275610829385428369;0.8984000014606863 ms
Miller-Rabin;224;19759032271458295653526457273020265834289953271339227200037408667533;0.5151000004843809 ms
Miller-Rabin;223;12824889923547679754143701957280531540006340408759704621677979066361;0.5546000029426068 ms
Miller-Rabin;224;25493512455149577675007319287969982306673463435029868450910437658059;0.5459999993036035 ms
Miller-Rabin;221;1885604691724147442306158672359320537577151087079925470218908940813;0.5306999992171768 ms
Miller-Rabin;224;26891033911941532286037488238327981652040582438202345616457283281581;0.5959000009170268 ms
Miller-Rabin;223;9962015567094615845861135935145755238918360241264481523790066329047;0.564899997698376 ms
Miller-Rabin;256;77732965734808310518245166148996510659133856802778505376550110435149139753573;0.709100000676699 ms
Miller-Rabin;254;17798638798536938516429941812089375189503311598708833354091631326955381052611;0.6905000009282958 ms
Miller-Rabin;255;33753468463321090184980083138338140770922082684202021635763539071901884255247;0.6713999973726459 ms
Miller-Rabin;512;8086607476186857671078009470662968660874098304020189647222138369078138260050422694637060380867872513089172363243452169966204407137978463448787182299300817;3.209999998944113 ms
